label,text,Date
4,@risako18 Thank you ,2023-03-18 16:32:55.447226
4,okay they like ti ,2018-12-06 16:32:55.447226
4,David Reutimann donates $5000 towards Carl Long's #nascar fine - website shows $9408.30 donated so far.  http://tinyurl.com/qm3979,2023-02-22 16:32:55.447226
0,@mcsheldon Why girl? ,2020-01-27 16:32:55.447226
0,Didn't cry at all today. Didn't even have the urge. Going to miss Kyrstie ,2020-06-26 16:32:55.447226
0,Had a terrible day! It can't get worse than this! :X ,2021-03-09 16:32:55.447226
0,i need to move on like really its getting old missing him....  ,2018-03-26 16:32:55.447226
0,@johncmayer @DanellD @joshgroban ok does everyone watch cops?!  I feel like im missing out on something cool ,2019-07-03 16:32:55.447226
4,@AboutBirdies Happy to hear all is progressing nicely ,2020-07-07 16:32:55.447226
4,@itssoajaj nice family tradition you got there huh! haha  i'm a bit annoyed to those kind of gatherings! haha ,2022-10-07 16:32:55.447226
4,Just got home from GRADUATION  I'm done! Going out with all my nonblood family.,2020-06-18 16:32:55.447226
4,who is going to warped tour pomona? let me knowwww ,2020-01-26 16:32:55.447226
0,not sure what i ate but my belly sure does ache ,2019-06-11 16:32:55.447226
4,"yay, heatworlds following me. i feel special ",2022-10-14 16:32:55.447226
0,@MissBethAnn   I'm a Metsies fan also! Boo Hoo,2020-11-26 16:32:55.447226
4,@cryssie epsecially after the cupcake updat (sorry got trigger happy and sent early)   ,2020-01-03 16:32:55.447226
4,I love Conan's &quot;Tweet of the Week&quot;!!!  No bro bro for Co Co ,2020-11-14 16:32:55.447226
0,Tune in for Farrah's Story Fri 9/8c on nbc. Pray that she stays alive long enough to watch it air  Cancer sucks !!!!,2020-10-16 16:32:55.447226
0,Got a Real Bad  headache ,2018-05-28 16:32:55.447226
4,We just tied a men's team. They're soooo pissed off ,2020-02-11 16:32:55.447226
4,@dobie_evgeni I absolutely did! All 9K of it! ,2022-06-30 16:32:55.447226
4,"@nakorokan They are, like I had gaps in my notes from the start of uni coz I failed at taking notes (noob) and they filled them in ",2021-12-05 16:32:55.447226
4,@shelleyjavier yes yes! hahaha it was fun!! you should visit Melbourne! ,2022-07-02 16:32:55.447226
0,@StophJ  Jerk I'm stilling waiting for my copy to come in the mail at some point today ,2018-08-26 16:32:55.447226
4,Gotta love jelly on a warm sundays eve... ,2020-02-28 16:32:55.447226
4,@wowgrrl  no problem.. thanks for your support ,2020-10-17 16:32:55.447226
4,Greg just brought me a cup of tea to have in bed  i am spoiled as usual. And i don't even feel that rough this morning. Result.,2018-09-26 16:32:55.447226
0,Sunday morning telly is so pointless!  This is obv why I'm usually asleep at this time!! *yawns*,2017-12-28 16:32:55.447226
4,I freaking love besties  they make me so happy!,2018-09-27 16:32:55.447226
0,"@mecanto client works fine on 5800, but there is no access point options ",2018-09-02 16:32:55.447226
0,@PassionMD hahahaha! i haven't been out with my friends since sunday! i'm so lame ,2018-03-02 16:32:55.447226
4,just been shop for cigs in a pair of roller boots  dont fink the shopkeeper bargained on me skatin in at 5.30am lol,2018-04-12 16:32:55.447226
0,eugh Marcus!!!!!!!! ,2020-06-22 16:32:55.447226
4,So we found out on the 28th the baby growing rather quickly in my wife's womb is a boy! She's 20 weeks pregnant atm and his name is Aiden ,2018-03-26 16:32:55.447226
4,@jakks coming from you I can't help but blush ,2022-07-07 16:32:55.447226
0,"@jKeys_WheReitiS I know, ima a big dissapointment LOL. Just not in the mood tonite sorry jess ",2023-02-09 16:32:55.447226
4,time to sunbathe me thinks  xx,2020-05-02 16:32:55.447226
0,@russellcarlsen we suck. ,2019-11-23 16:32:55.447226
4,On the phone w/Navasita.  She's being estupidoooo!,2018-04-07 16:32:55.447226
4,@typezero3 The Twitter API is relatively straightforward (although no API is as straightforward as bit.ly ,2022-04-22 16:32:55.447226
0,"holy balls, less than three hours of sleep and I don't care. saying goodbye to one of my best friends soon. this one won't be fun at all. ",2018-03-15 16:32:55.447226
4,@TiffanyLD yay! im going to see them next month!!!  im obsessed lol,2023-02-12 16:32:55.447226
0,@elitaste I'm all over it once I get back from work. My internet was down this morning  wanted to listen on my bus journey.,2022-02-26 16:32:55.447226
0,@lightinaugust but I dont have his email  Hmm I know a mailbox I can drop it in. And thanks for the yes ,2019-03-17 16:32:55.447226
4,"@alizahausman As long as u don't think less of me for not being born yet  70s meant fat Elvis though, unforgivable.",2019-03-06 16:32:55.447226
0,@georgiababi sorry  lol its nt shit. its cool :] its cos i have no friends on here. hows study leave?? lucky peeps!,2019-07-12 16:32:55.447226
4,I'm on the internet! ,2020-10-07 16:32:55.447226
0,Twitter is not letting me upload a new photo...  Boo.  ,2019-11-25 16:32:55.447226
0,I get the feeling my &quot;A Hard Day's Night&quot; DVD is not long for this world ,2019-07-09 16:32:55.447226
0,@jeffLmsu good call on holding for take 3..... cause take 1 was a *huge* failure ,2021-05-09 16:32:55.447226
4,Just saw &quot;Up&quot; - definitely not just for kids. I loved it ,2021-11-29 16:32:55.447226
4,oh what a beautiful dayyyyy ,2018-04-27 16:32:55.447226
0,[-O] @Horvik lucky  i wish i could go back to italy. http://tinyurl.com/r62a7k,2019-08-12 16:32:55.447226
0,TGIF! What a morning! It's been non-stop &amp; I need coffee. Stayed up late last night trying to get todays work done. Didn't work ,2020-12-12 16:32:55.447226
0,OHSHIT totally called jon&amp;kate's divorce. along with the rest of the populationnnn.  i feel bad for the kidsssss.,2020-06-14 16:32:55.447226
0,OMG end of year ,2021-10-28 16:32:55.447226
4,really pumped to go see the hangover with sarah ,2019-09-09 16:32:55.447226
4,Happy birthday Grandpa! ,2020-03-05 16:32:55.447226
4,Just got off the phone with my second Mom.  ,2021-09-14 16:32:55.447226
0,@BrewskieButt  that is tooo sad! BB *cries *sobs see you later...,2020-05-19 16:32:55.447226
4,watching the hills ,2021-05-02 16:32:55.447226
4,Pizza . The game . Some friends . The studio .. A good time ,2020-12-14 16:32:55.447226
4,"Amoungst the clouds, rain, and overcast sky... remember to keep a smile on--they are contagious! (&amp; who doesn't appreciate a smile!?) ",2018-12-21 16:32:55.447226
4,I think its time for some sims. I've got time to spare anyway ,2019-12-03 16:32:55.447226
4,@JulieMa Ha my last tweet was to you --- &quot;awesome! haha what a score!&quot; ,2020-09-21 16:32:55.447226
0,@sofiecyrus well thx hope she will see my massages idk why shes sad butt am sad  nd yeah its 1 off my fav pic,2022-12-25 16:32:55.447226
0,I hate happy couples. ,2023-02-28 16:32:55.447226
4,"so ready for dc tomorrow, photo trippin' ",2022-04-22 16:32:55.447226
0,@ananyah lol it's really not good ,2019-02-12 16:32:55.447226
4,totally cute  @whirschi: http://twitpic.com/6hgz9 - Blurry...but still the two cutest little joys in my life.,2022-12-10 16:32:55.447226
0,Porque vocÃª some?  @gabiwithlasers,2019-02-14 16:32:55.447226
4,@Xx_JessicaB_xX Oh and if I do go out I have to use crutches. Sister ordered me but hell to that idea. Night ,2020-07-24 16:32:55.447226
4,@Keda2009 Nice! You definitely have the gift!! Feel free to show your designs to me anytime ,2020-05-31 16:32:55.447226
4,@HitchRoc I love Earthworm Jim! ,2022-02-01 16:32:55.447226
4,"@themusicelitist you are as most often times, correct   Thanks for the props!  You should come up here and visit one of these days!",2022-04-08 16:32:55.447226
0,I'm goin to see Lady Gaga tomorrow!! ...In my mind ,2022-02-13 16:32:55.447226
4,@online_mum lol keep trying 'm sure you can better that ,2018-02-01 16:32:55.447226
4,@aruni happy mothers day to you!  you were the first &quot;mommy blogger&quot; (are you even one?  i connected with,2021-01-29 16:32:55.447226
0,My exams are nearly at the end only 2 left both maths ,2019-08-16 16:32:55.447226
4,Busy week - two days stand before me and an airplane to the Homelands.  IF I can make it that long! ,2020-08-21 16:32:55.447226
4,@ElPolloLocoInc Can you guys open up shop in Austin TX? I'll be your official spokeswoman! ,2020-03-15 16:32:55.447226
0,I wish boo wasn't sleeping  ,2021-03-10 16:32:55.447226
4,@feedly But you should consider tapping into the live streams of social ,2022-07-09 16:32:55.447226
4,@mariedancerr lolz yay i thought i was like the only one who did ,2020-08-26 16:32:55.447226
4,"Please please follow this guy its for a truly worthy cause, to see a grown man dance nearly naked down hollywood blvd @peterfacinelli ",2020-03-04 16:32:55.447226
0,ahh hot wings sound sooo good right about now...I want some  @kirbster00,2020-12-04 16:32:55.447226
4,goodnight world  i'll try to turn in earlier tonight. slept around 2am and im not even tired now :X uhhh,2021-12-26 16:32:55.447226
0,@sidSicklePowers im still hungry too ,2020-12-29 16:32:55.447226
0,"@katiabella yeah, i'm too short, too  yeahh, you've got time haha",2018-06-26 16:32:55.447226
4,"ok, definite Vocal overdose in the next hour...but it will certainly be beautiful  #asot400",2019-08-09 16:32:55.447226
4,Best night of my life thanks to alec and african healing dance ,2019-08-09 16:32:55.447226
4,"Can't forget my twoys, @BoxdenFresh, @DomCorleone, @NerdAtCoolTable, @Fall4RonLuv, @PWorld12, @DONDITO, @IAmMrBloom ",2022-11-07 16:32:55.447226
0,"@NonTypical384 ugh, that's so stupid! I'm sorry ",2021-10-30 16:32:55.447226
4,@pacquiaonews Congratulations! I was there 2 witness the TKO! Good job fellow Filipino!You make us proud  Time 2 relax from the excitement,2022-11-14 16:32:55.447226
4,"gettting lots of snacks and watching movies on my comfy couch, text me - 5086422171 ",2021-07-23 16:32:55.447226
0,Wedding dance= crazy! Requested McFLY and they played it!! No one knew who it was   go figure lol! Bloody Americans!!,2019-02-21 16:32:55.447226
0,@iN0J Same here  let's go club ! Mwahahha,2019-09-16 16:32:55.447226
0,"@jonboyes gotta come back to blighty on sunday, bag ",2018-12-01 16:32:55.447226
4,Hello from the HTC Hero ROM on my G1 ,2022-10-31 16:32:55.447226
4,@bethanydillon Max &amp; Erma's is YUM ,2020-05-14 16:32:55.447226
4,@MusikFareak Troy sounds like an awesome college ,2022-12-19 16:32:55.447226
4,Water. It's like a taste of heaven ,2019-01-16 16:32:55.447226
0,working all day ,2019-06-21 16:32:55.447226
0,head hurts sooooo much. ,2022-12-10 16:32:55.447226
4,new iPhone update tomorrow - finally!! cant wait ,2021-03-17 16:32:55.447226
4,@Coleslaw13 dunno if I have FB friend adding enabled - msg me and I'll add u ,2018-12-19 16:32:55.447226
4,@feltfood Well done!!  website looks wonderful!! ,2019-07-12 16:32:55.447226
0,@Etown_Jenn Yeah it kinda sucks that I can't sleep!  I got a bad headache now too ,2018-07-31 16:32:55.447226
0,heading home  i want to stay!,2017-12-30 16:32:55.447226
4,"tired as, talking to friends, going to bed soon. yewww ",2018-09-05 16:32:55.447226
4,@bustyrockets  I see the rain has come back to greet the English Summer as usual lol ,2021-06-29 16:32:55.447226
0,"went to the water park with my son,krystal and her kids it was fun..but my son nd her son bumped into eachother n got hurt  but they r ok",2021-11-25 16:32:55.447226
4,"@ohkara Bahahah! :] They are getting there, But in the mean time.. Normal tv sucks! Foxtel ftw! ",2020-03-03 16:32:55.447226
4,just decided to keep updating my twitter.. for certain reasons.. hahaha..  [the veronicas rock! haha],2023-02-22 16:32:55.447226
0,"@adugdell Dugie, I tried to do my video today, but my webcam isn't supported on Win7  Will ask @nicfill to help me record one nxt week.",2019-12-25 16:32:55.447226
4,@kdotcom  Duh!!! I like ,2018-11-05 16:32:55.447226
0,sad day: manu out for the season ,2021-04-12 16:32:55.447226
0,is looking at her friends' photos. goodtimes  http://plurk.com/p/x5pdy,2022-12-12 16:32:55.447226
4,@bybenjamin dude all of this is silly so don't sweat a word or two    I hope you don't take any of what I say with a grain of salt.,2020-03-06 16:32:55.447226
4,@Jonathanstewar1 Gotta love the life of a famous sports star!  I'm jealous ,2023-01-18 16:32:55.447226
4,"@triciamole sweeet!  ughh i wish i could get exams over with, my finals are next weeek",2020-09-26 16:32:55.447226
0,"doing homework on saturday, ",2019-02-20 16:32:55.447226
4,@MrPeterAndre Welcome back! ,2019-06-26 16:32:55.447226
0,"I need to start packing up my stuff, but I don't want to... ",2022-11-14 16:32:55.447226
0,@jedijen It's very discouraging and sad   I've only gotten one call to even go through in the last two weeks.,2023-04-25 16:32:55.447226
4,"@cityhawk: Ð½Ð¸ÑÐµ Ñ?ÐºÐ¾ÑÐ¾ Ð½Ð¾Ð²ÑÐ¹ Ð°Ð¹ÑÐ¾Ð½ Ð²ÑÐ¹Ð´ÐµÑ, ÐºÑÐ¿Ð¸ÑÑ Ð¸ Ð½Ð¸ÐºÐ°ÐºÐ¸Ñ Ñ?ÑÐ¸Ð»ÑÑ?Ð¾Ð² ",2023-02-18 16:32:55.447226
4,Yummy....Ice cold milk and cereal....cereal with Strawberries baby!!! ,2022-12-05 16:32:55.447226
0,@Ali_Sweeney When r u on?  Or did I miss u already ,2022-02-19 16:32:55.447226
0,I love how a cup of coffee cures my headaches. I hate how the lack of coffee causes them. ,2020-12-25 16:32:55.447226
4,showerr; washing the stress away. then crashing into bed - my fave part of every day ,2018-08-05 16:32:55.447226
0,charm school suckz......pup is asleep....im all alone now. Guess I'll go to bed ,2021-08-12 16:32:55.447226
0,No sun here  calf still sore from massage but hopefully will be better for tomorrow...,2022-06-25 16:32:55.447226
4,@hezmcfly hehe lol  you a future-girl ;DD,2018-02-13 16:32:55.447226
0,I'm currently drinking a mocha frappuccino &amp; my dad is downstairs puking and doing other sickly things. Its not a very happy day for him. ,2022-07-27 16:32:55.447226
0,"@Geraldy Those emoticons are the cutest, especially the kitty :] I never use Ameba though ",2022-07-08 16:32:55.447226
4,@Chanosky I'm on the opposite diet. Drink for three days straight. ,2023-04-09 16:32:55.447226
4,im goin #shoppin soon with 2 of my bezzzieeees - @Lozzie101 and @Natster9 ,2022-06-10 16:32:55.447226
4,"@21_Becca Aww, thanks for letting me know. ",2018-04-05 16:32:55.447226
0,U get to go to playland and i dont ,2020-09-04 16:32:55.447226
4,had lunch with my baby.. ,2019-09-25 16:32:55.447226
4,@ShystieUK Lucky Charms all the way!! jus sooo dam expensive!! ,2021-08-19 16:32:55.447226
0,Gotta go back out there. ,2020-10-29 16:32:55.447226
0,Caught out in the rain. Hiding out on the national guard recruiting officer's porch. ,2018-02-28 16:32:55.447226
4,is going to bed...this week is going to be crazy busy...must rest up one more day tomorrow...    Night all.,2018-08-14 16:32:55.447226
0,Overslept and just missed another outing to the hills for the 5th week in a row  what's wrong with me...,2017-12-30 16:32:55.447226
0,@Frankus80 i just saw june 26th is on a friday. i may not be able to make it because i don't get out of school til 9:30 ,2019-01-20 16:32:55.447226
4,will be right back ,2018-07-02 16:32:55.447226
4,"I made Christian Bale laugh today...I told him he's not my man-crush anymore   I'll post my fun interview with him very, very soon!",2021-03-01 16:32:55.447226
0,"Jogging, isnt REALLY that cool, especially if you've got a fever ",2019-09-19 16:32:55.447226
4,Pulling ourselves out of bed after too many glasses of wine last night to make mass at the Duomo Orvieto. Rough ,2019-08-28 16:32:55.447226
0,Just left the house didn't expect this kind of entertainment!!! Hope it ends safely!!! ,2022-07-23 16:32:55.447226
0,@hesmagicandmyth I'm gonna go watch the cabisodes and cry into my ice cream... ,2020-03-01 16:32:55.447226
4,@bethanyvarrone http://bit.ly/wKCys  ,2023-04-01 16:32:55.447226
0,@Roryfig I found out I'm going to philly oon wednesday  so some other time!,2020-02-05 16:32:55.447226
0,i am ill atm  on twitter and looking at all ice hockey stuffage,2019-04-21 16:32:55.447226
4,going to bed..need my beauty sleep ,2018-06-19 16:32:55.447226
0,"@JohnnyGWeir Oh...Poor ì¡°ë  You may feel so hard now...but that makes you strong and perfect, right? Go for it  ì¡°ë! â¥",2020-02-16 16:32:55.447226
0,Not good. I want my freedom back. ,2021-11-30 16:32:55.447226
4,learned most of a song on the guitar haha  I feel semi- accomplished.   time to watch Sopranos and eat lefover pasta   mmmmmmmmm ,2022-01-06 16:32:55.447226
4,"@GBDtweets however in ur case, please dont stop trying ",2022-11-15 16:32:55.447226
0,"I'll find out next week if the liked me, but the job isn't until aug, ",2018-06-28 16:32:55.447226
4,@rchains Congrats on the president title! ,2022-07-21 16:32:55.447226
4,"@Hollywood_Trey Ur very Welcome  That was a get -hyped-up song, now here's a chillin' out one  http://tinyurl.com/5uh44c",2019-05-02 16:32:55.447226
4,my new fav word is &quot;jargon&quot;  haha ,2019-01-19 16:32:55.447226
4,why is life so boring sometimes? Haha ,2022-07-16 16:32:55.447226
4,@Wookiesgirl good morning loves.. Time to make the donuts ,2020-01-02 16:32:55.447226
0,is recovering from food poisoning ,2021-07-29 16:32:55.447226
0,@karynromeis Norwegian - now I have to go to the next one live due to an old bet ,2020-05-28 16:32:55.447226
0,@ButterflyerGurl Meh I hate all of you  http://tinyurl.com/n8rbv8,2018-01-12 16:32:55.447226
4,@misuzette....i needed to hear that too..thanks and see u soon  U know I love me some of your tilopi..remind me of my moms cooking..,2020-08-10 16:32:55.447226
0,What?!?! where is the class of 2009?  I miss them already... ,2018-01-28 16:32:55.447226
4,loves the mid-summer rain ,2020-03-07 16:32:55.447226
4,My whole immediate will be in the same city until some point tomorrow afternoon. This is monumental ,2022-05-29 16:32:55.447226
4,"Exhausted. Great day at the beach today  Lunch cost $105.85 today, NOT worth it!",2019-05-13 16:32:55.447226
4,@mallorydb real schools require such things ,2018-10-17 16:32:55.447226
0,"@colettebennett ouch, a wedding in the morning  ?",2022-03-07 16:32:55.447226
0,"@postalguarelas Thks, keeping well. Busy rearranging work space 2 make more conducive 2 productivity, but tiny space lots of stuff  &amp; You?",2022-02-04 16:32:55.447226
4,Had a nice weekend  Now it's back to work...,2021-02-17 16:32:55.447226
0,Gonna leave to pick up winston..poor baby lost his manhood today ,2023-02-06 16:32:55.447226
4,"@HoldHer93 he talked about his mom and stuff, and he almost started crying too. I just thought it was REALLY sweet... ",2018-06-23 16:32:55.447226
0,@michael_lobster Get on that. I wanna leave my job too  Although it's no where as bad as @Terraforever,2023-01-26 16:32:55.447226
4,@aimonia are you looking for a home-based job? would you like to offer your services? please @ or DM me; I'll try to help you find work ,2020-03-08 16:32:55.447226
0,Gained a couple of pounds  so depressing!!,2020-07-22 16:32:55.447226
0,It's getting really dark outside! Where is the sun? ,2018-07-02 16:32:55.447226
4,New Orleans-here I come! ,2020-10-27 16:32:55.447226
4,@danfaust Shared an elevator with him multiple times at the Stargate con in Vancouver. Nice guy. ,2021-11-28 16:32:55.447226
0,@SaifSiddiqui She's disappeared from twitter.  At least she's still on AIM and Facebook.,2021-09-12 16:32:55.447226
4,@THE_WOCKEEZ We'll be your family until you get to see them again!  xoxo,2020-05-25 16:32:55.447226
4,On the bus on the way to school. Blahh! At least its good weather so it must be a good day ,2020-02-12 16:32:55.447226
4,@JonathanRKnight AWW.... i totes &lt;3 you.  i wouldn't ever follow that piece of shit ever.  there's no reason to. ::hugs:: nite!!!,2019-03-19 16:32:55.447226
4,#whyitweet because i have 13 followers ,2019-01-06 16:32:55.447226
0,McDonalds breakfast is NEVER a good idea in hindsight... ,2020-03-30 16:32:55.447226
4,@britstan12 hey i'm following you  ,2019-01-31 16:32:55.447226
0,Cryed during Hotel For Dogs. Sad Movie. ,2018-11-22 16:32:55.447226
4,Yay! For Chelsea winning yesterday. ,2019-10-22 16:32:55.447226
4,"@kiara_C if you do get on ichat. if not, then goodnight ",2021-10-26 16:32:55.447226
0,shit i better go....i don't wanna go 2 work ,2021-01-22 16:32:55.447226
0,@neyas_andrea nooo not at all! she screams SOOOO loud! she woke me up early ,2021-04-29 16:32:55.447226
0,I never get dressed anymore or get ready anymore water polo makes stop  my hair is a mess haha,2018-07-17 16:32:55.447226
4,"@leahjones Not sure if you  meant that in a funny way or angry way, but this is so much more fun. Is it annoying? ",2020-11-06 16:32:55.447226
0,i installed the 3.0 software on my iPhone 2G and now I can't play my old games ,2023-03-27 16:32:55.447226
0,Why does the weekend have to end so soon ,2019-01-26 16:32:55.447226
4,&quot;Only those who have learned the power of sincere &amp; selfless contribution experience life's deepest joy: true fulfillment.&quot; Tony Robbins ,2018-11-07 16:32:55.447226
4,"@LenkaMusic Just like yourself, amazing  I love your music - Cheers from Mexico ^^",2022-06-17 16:32:55.447226
4,@IIGoDeSSII I just made my first long island ice tea ,2022-12-25 16:32:55.447226
0,"sometimes you wish that things would work out better , but they don't sadly. ",2021-11-23 16:32:55.447226
0,i miss you bby      wish you were going tomorrow to make me do good.,2018-05-19 16:32:55.447226
4,Little Miss Sunshine in AP Psych ,2019-05-24 16:32:55.447226
0,Don't make me go.   ,2023-03-15 16:32:55.447226
0,i'm not feeling great again.  finally watching the mtv movie awards even though i should be sleeping. story of my life!,2020-08-26 16:32:55.447226
0,Bad dream. :'(  I love Valerie so much. I don't ever want to lose her. ,2019-12-04 16:32:55.447226
4,... believe: dreams come true! ,2020-06-02 16:32:55.447226
4,@ianmasterson What seriously??? ,2021-01-24 16:32:55.447226
4,time for me to go to rehearsals... i love this feeling ,2023-03-21 16:32:55.447226
0,Wants to be relaxing at home ,2021-04-21 16:32:55.447226
4,i'm going to Great GrandMa's House ,2022-05-28 16:32:55.447226
0,Went to my grandma's with the sunroof open and a million moquitos flew in. :/ ,2020-01-02 16:32:55.447226
4,FRENCH TOAST!!!!! ,2022-07-24 16:32:55.447226
0,R found a dead squirrel in the backyard first thing this morning. Not a mark on it. Wondering if a plague has hit the Squirrel Army. ,2018-10-03 16:32:55.447226
0,@sarah_janes UGH  I LOATHE the dentist!,2018-12-16 16:32:55.447226
4,@milwaukeescene YA FIRST JAZZ IN THE PARK!! Can't wait to bring a nice bottle of wine or 2 like we ALWAYS DO... and will CONTINUE too! ,2021-02-23 16:32:55.447226
0,"@enjoystan yes chief thew signs arent good, no call no sms no email ",2021-10-05 16:32:55.447226
0,This is my first message and I can't think of anything quirky or interesting to write... ,2022-03-18 16:32:55.447226
4,"So times square has these lawn chairs out here. I'm poppin a squat, takin it allll in ",2018-11-17 16:32:55.447226
4,"Missing @twisteddspirit, why did you have to move to TA-HATCH-A-PEA?! fresno is far more better; why? because I'm here ",2022-09-16 16:32:55.447226
4,@jtbritto night love! Nice talking to u tonight!! ,2020-12-04 16:32:55.447226
4,@mileycyrus Miley you are amazing  http://bit.ly/oiixj  I posted that for you! I also voted for you for MTV movie awards! Thanks girl!,2019-04-17 16:32:55.447226
0,so tired and i miss my bestfriend CP ,2019-07-12 16:32:55.447226
4,"is chatting NOT with an Irishman, but rather a man who happens to BE in Ireland. oops...... ",2019-09-07 16:32:55.447226
4,"@Mrs_Penguin ha... ha..... ha.... choo!   (i'm not laughing, honest!) Hello Mrs P! Beautiful weekend eh? ",2022-12-12 16:32:55.447226
0,I &lt;3 waking up and hurking. at least sis called; I feels better now. still calling in sick though ,2019-08-04 16:32:55.447226
0,ahh it ddnt go all the way ,2018-11-23 16:32:55.447226
4,had a really great night  He always knows how to make me smile.,2021-12-29 16:32:55.447226
0,"bad times for gemgem, bad, bad times ",2021-07-11 16:32:55.447226
0,Ok.....Twitter is not near as exciting as I thought it would be!  ,2021-03-24 16:32:55.447226
4,SO...with that said I am going to turn my alarm clock on aka my phone and go 2 sleep nite nite twigga boos ,2020-07-12 16:32:55.447226
4,TERMINATOR SALVATION TONIGHT  ! luxury seat for the win. Ive been waiting months for this! Excitement level 10.,2021-04-07 16:32:55.447226
0,Cell phone reps are worse than car salesmen. ,2020-05-26 16:32:55.447226
0,@xxxmariaxxxx hope soooo......... but i doubt it im not that lucky enough!!!!! ,2022-11-22 16:32:55.447226
4,My cupcake has to work in the morning. Wonder if he'll be mad if I woke him up! ,2018-12-06 16:32:55.447226
0,"@dougiemcfly Lol, Poor Argentina! When are u back in england? England is sad ",2023-04-14 16:32:55.447226
0,@clareday Oh buggery and arse Clare. I am sorry to hear this ,2020-09-11 16:32:55.447226
4,@shaundiviney hi babes  iloveyou ! guess what im seeing you in 9 days. siked heaps. we need to get a group photo yes ? ily xx,2018-12-25 16:32:55.447226
4,@emangol He he ,2021-09-04 16:32:55.447226
0,Got sunburnt..proper hurts  But at least i beat amy at badmington (Y),2023-04-20 16:32:55.447226
4,@StCyrlyMe2 No prob. I just dont wan't to give the cult more ammunition... ,2019-09-02 16:32:55.447226
4,@plxtransformer I agree ,2022-11-29 16:32:55.447226
0,miss my bestfriends!!!  i wish i could see them again! but i can't i'm stuck here at school!!!!!,2022-07-23 16:32:55.447226
0,My iPod went swimming. Now it's swimming with the fishes.  rest in peace.,2022-12-29 16:32:55.447226
0,Nearly there ,2021-11-22 16:32:55.447226
0,@kayotickitchen ... I crushed my camera so I will see what I can do. The zoom is not all that great now ,2020-08-11 16:32:55.447226
0,@hockeygal4ever The Pens beat my Cardiac Canes...  Still sad.,2023-03-02 16:32:55.447226
0,@tommcfly You will be ok ,2023-01-21 16:32:55.447226
4,@Applecored heeeeeeeeeeeeeeeeey ... mwah mwah mwah  lol,2021-08-03 16:32:55.447226
0,Getting ready to go to bed. Have to wake up bright and early tomorrow. Back to work. I miss my vacation ,2021-02-10 16:32:55.447226
